"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
0.428924393629715,0.0844015292473487,0.0482232890095296,0.00397694350755652,9.81225608807858e-06,3.80411128771259e-08,3.73076778363425e-10,2.3077451693233e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.466946443546284,0.121378891463562,0.0763487583616479,0.00876728471798404,3.52129832617696e-05,1.97273948550553e-07,2.61145271341955e-09,1.67149300996773e-09,5.48332029623779e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480197478319547,0.158557704310775,0.109597917433985,0.0182311473243068,0.000129907648669944,1.09224364977411e-06,1.97409680838545e-08,1.30363619635046e-08,7.77200202166267e-11,4.65383508158233e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.482996266140297,0.194867463409439,0.146052573424179,0.0349248895968434,0.000466121444878171,5.95007290454281e-06,1.46440759994249e-07,9.97179155012543e-08,8.75992418985848e-10,8.09706564698534e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.497781885020698,0.240744207229338,0.193104785248618,0.0641156993007477,0.00163308728836076,3.16987308157225e-05,1.05596895677635e-06,7.40916080806266e-07,9.28752246361233e-09,1.038986454015e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.489837446570411,0.270640963309266,0.228172948421711,0.0988493129841638,0.00491335769907058,0.000150563911225983,6.92195006867281e-06,5.01274800180318e-06,9.12319297534445e-08,1.21866247943787e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.483269039411085,0.299973120675288,0.263002502773561,0.140485441435297,0.0132788687638099,0.000663579684603601,4.28707943822027e-05,3.20922143413533e-05,8.59743413621985e-07,1.3747318182924e-07,4.24222921987414e-12,9.01598575100369e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.474144190166918,0.328926502305569,0.29823266388853,0.189415745710251,0.032991466725201,0.00278893971679505,0.00025749712947292,0.000199440067486113,7.87470313734005e-06,1.49892799071123e-06,1.64162626676789e-10,7.95624631197733e-11,2.44706116632137e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.457122427938057,0.350403018759711,0.326444897602228,0.236623033734119,0.0687732138295195,0.0100120578656923,0.00135052861974471,0.0010839828980894,6.36439232794125e-05,1.44068753754072e-05,3.26536451344235e-09,1.66029815854894e-09,6.02701576383687e-10,7.19404941525232e-12,2.45594879618437e-12,2.29987537366393e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.425730241065219,0.355605485500358,0.338444664401457,0.270675329540718,0.116783521855219,0.0287350438092798,0.00577842535924091,0.00481472228847576,0.000425729424599907,0.000114839522399165,5.48230439542642e-08,2.9311659600301e-08,1.14531593927907e-08,2.7194157944573e-10,1.63756142073057e-10,1.57076169366007e-10,6.55038520025804e-11,2.25646678092821e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
